mRNA	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
Chili_GLEAN_130274	4.87799026	11.98216681	4.344271258	7.99270043	3.661816198	34.93628711	31.50401981	12.39903176	17.98377886	19.24984489	12.00888773	7.451642144	3.940126938	3.482973442	9.82822429	16.88678821	14.28972013
Chili_GLEAN_120578	6.137228109	6.087661741	7.706659261	15.85858274	18.87723111	34.35228598	19.89415632	4.204610674	10.78308657	6.784493577	4.264165035	2.809828698	2.730653517	3.679686228	21.36980883	2.330412499	3.087045518
Chili_GLEAN_123915	15.08702248	24.22752572	16.37307567	3.46592555	8.616985877	33.3292179	32.02959168	45.36701152	34.97684418	35.27229942	19.95229471	22.83454122	20.00340234	24.21233538	13.39446567	25.32575784	26.27075736
Chili_GLEAN_109076	0	0.074787855	0	2.353769474	4.507577617	33.13157656	16.64097912	0.403265909	2.253969858	0.154542086	0.072849169	0.292591104	0	0.043731415	13.9121585	1.71195307	25.63627953
Chili_GLEAN_132246	113.9524372	26.62365463	79.06812386	13.33048289	16.31520195	32.08050019	28.71363048	40.52257372	19.81422652	9.096277146	9.636654214	41.04228264	24.940844	41.78566765	7.21529071	53.37400887	11.1184524
Chili_GLEAN_129217	126.6505006	66.54244464	105.4532477	27.15128238	46.5165271	31.07036997	47.14273481	59.66442139	45.77890504	23.17885339	25.8359482	71.82578026	44.83812749	84.03739635	36.43473006	114.014427	51.91750027
Chili_GLEAN_130882	49.02777782	26.63920425	20.79506381	10.19769529	13.27091287	29.9533899	35.9890611	27.00338368	44.78542214	26.88805669	15.34146526	12.27534101	21.36774514	36.0465352	34.40685947	20.89519126	33.91438554
Chili_GLEAN_136320	61.31948773	58.41875248	69.92667736	40.38078339	31.2740028	29.55696687	30.04566065	47.27851114	41.45673919	44.53737346	41.06923949	52.82923956	42.4980709	51.14763857	34.89314588	51.25450991	44.29175308
Chili_GLEAN_135258	4.195727073	14.87039795	4.562560897	1.471730595	5.933541661	29.53572342	16.87301894	13.46471479	11.70827459	12.03041238	6.285908887	7.409357203	12.04096452	12.79687058	11.0407735	8.364251232	6.63288761
Chili_GLEAN_106508	0	2.927994245	0.113366015	139.3196267	65.12018151	28.86063546	62.85613054	26.76964881	36.88164143	1.915968044	0.570418679	1.081873974	1.039019713	0.304375818	17.76773331	5.576682274	7.06174962
Chili_GLEAN_120535	11.12530232	21.60220443	8.21511214	3.346967082	7.600473369	28.02935213	22.48531217	25.94935191	24.55031292	11.12001783	8.012518657	11.84247174	9.590646078	9.709747953	26.67617638	16.0424295	27.50864645
Chili_GLEAN_121910	27.40350423	23.46928721	32.01361279	15.23576259	10.90220731	26.52717509	27.59167477	24.31480414	25.01900226	19.06722808	20.86790327	20.48257641	15.77561705	36.97112793	25.59391098	22.72364428	26.34016434
Chili_GLEAN_101517	1.180518191	5.302320443	2.84254786	4.278920432	5.606647468	25.94061511	23.19045903	15.83490804	18.91151348	1.264240123	0.794595568	0.398926297	0	0.953992726	22.37274586	4.776806176	16.21651689
Chili_GLEAN_105383	1.201761449	23.97839949	1.150903054	7.900053096	11.64457551	25.76585341	23.43236069	24.42402268	21.23169852	12.37265333	14.33948814	22.17886637	1.186676033	1.655385835	4.152223595	11.03164259	9.065385596
Chili_GLEAN_112254	10.7274529	31.47815566	11.85769965	7.966243422	9.258308057	25.55354743	28.00082013	35.01227687	27.82088216	13.04935979	11.66105685	19.42002684	18.46313243	20.68326709	17.76319538	17.11813007	17.75571563
Chili_GLEAN_126818	47.04049584	33.71295366	56.44541339	18.9642114	21.143533	25.48029522	26.04119458	37.68241277	27.29799065	21.67211733	25.8363826	31.36323051	25.37247201	29.74453392	42.19883379	34.10988706	26.32128176
